Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos
36,Xavier\'a0Avery*\\averyxa01,22,BAL,AL,32,107,94,14,21,6,1,1,6,6,3,11,23,.223,.305,.340,.645,76,32,2,0,2,0,0,7/D8\
37,Alex\'a0Avila*\\avilaal01,25,DET,AL,116,434,367,42,89,21,2,9,48,2,0,61,104,.243,.352,.384,.736,99,141,12,2,2,2,2,*2\
38,Luis\'a0Avilan*\\avilalu01,22,ATL,NL,31,3,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,81,1,0,0,0,0,0,1\
39,Mike\'a0Aviles\\avilemi01,31,BOS,AL,136,546,512,57,128,28,0,13,60,14,6,23,77,.250,.282,.381,.663,77,195,6,2,3,6,0,*6/D45\
40,John\'a0Axford\\axforjo01,29,MIL,NL,71,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
41,Luis\'a0Ayala\\ayalalu01,34,BAL,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
42,Erick\'a0Aybar#\\aybarer01,28,LAA,AL,141,554,517,67,150,31,5,8,45,20,4,22,61,.290,.324,.416,.740,107,215,11,5,7,2,1,*6\
43,Burke\'a0Badenhop\\badenbu01,29,TBR,AL,5,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
44,Homer\'a0Bailey\\baileho02,26,CIN,NL,33,76,70,1,8,1,0,0,5,0,0,1,29,.114,.127,.129,.255,-31,9,3,0,5,0,0,1\
45,Jeff\'a0Baker\\bakerje03,31,TOT,MLB,83,201,188,18,45,12,1,4,25,4,1,11,48,.239,.279,.378,.656,76,71,7,0,0,2,1,93/475\
46,John\'a0Baker*\\bakerjo01,31,SDP,NL,63,214,193,17,46,8,0,0,14,2,1,20,41,.238,.310,.280,.590,69,54,4,0,1,0,2,2\
47,Grant\'a0Balfour\\balfogr01,34,OAK,AL,5,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
48,Rod\'a0Barajas\\barajro01,36,PIT,NL,104,361,321,29,66,11,0,11,31,0,0,29,69,.206,.283,.343,.625,73,110,4,7,0,4,5,2/3\
49,Daniel\'a0Bard\\bardda01,27,BOS,AL,1,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
50,Clint\'a0Barmes\\barmecl01,33,PIT,NL,144,493,455,34,104,16,1,8,45,0,2,20,106,.229,.272,.321,.593,64,146,9,8,8,2,3,*6/3\
51,Brandon\'a0Barnes\\barnebr02,26,HOU,NL,43,105,98,8,20,3,0,1,7,1,1,5,29,.204,.250,.265,.515,41,26,1,1,1,0,0,8/97\
52,Scott\'a0Barnes*\\barnesc01,24,CLE,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
53,Darwin\'a0Barney\\barneda01,26,CHC,NL,156,588,548,73,139,26,4,7,44,6,1,33,58,.254,.299,.354,.653,76,194,11,3,3,1,1,*4/6\
54,Jason\'a0Bartlett\\bartlja01,32,SDP,NL,29,98,83,8,11,5,0,0,4,0,0,12,27,.133,.240,.193,.432,25,16,6,0,2,1,0,6\
55,Daric\'a0Barton*\\bartoda02,26,OAK,AL,46,136,113,8,23,7,0,1,6,1,0,22,32,.204,.338,.292,.630,80,33,1,1,0,0,0,3\
56,Anthony\'a0Bass\\bassan01,24,SDP,NL,24,31,31,3,4,0,1,0,5,1,0,0,13,.129,.129,.194,.323,-10,6,0,0,0,0,0,1\
57,Antonio\'a0Bastardo\\bastaan01,26,PHI,NL,62,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
58,Miguel\'a0Batista\\batismi01,41,TOT,NL,31,7,6,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,0,0,0,1,0,0,1\
59,Trevor\'a0Bauer\\bauertr01,21,ARI,NL,4,5,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,1,0,0,/1\
60,Jose\'a0Bautista\\bautijo02,31,TOR,AL,92,399,332,64,80,14,0,27,65,5,2,59,63,.241,.358,.527,.886,138,175,11,4,0,4,2,9/3D5\
61,Mike\'a0Baxter*\\baxtemi01,27,NYM,NL,89,211,179,26,47,14,2,3,17,5,3,25,45,.263,.365,.413,.778,116,74,0,5,0,2,4,97/8D\
62,Jason\'a0Bay\\bayja01,33,NYM,NL,70,215,194,21,32,2,0,8,20,5,1,19,58,.165,.237,.299,.536,48,58,3,0,0,2,0,7\
63,Brandon\'a0Beachy\\beachbr01,25,ATL,NL,14,31,27,3,5,1,0,0,4,0,0,2,17,.185,.241,.222,.464,27,6,0,0,2,0,0,1\
64,Pedro\'a0Beato\\beatope01,25,TOT,MLB,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
65,Blake\'a0Beavan\\beavabl01,23,SEA,AL,1,3,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,1,0,0,1\
66,Chad\'a0Beck\\beckch01,27,TOR,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
67,Josh\'a0Beckett\\beckejo02,32,TOT,MLB,9,22,21,0,1,0,0,0,0,0,0,0,12,.048,.048,.048,.095,-74,1,0,0,1,0,0,1\
68,Gordon\'a0Beckham\\beckhgo01,25,CHW,AL,151,582,525,62,123,24,0,16,60,5,4,40,89,.234,.296,.371,.668,80,195,10,7,8,2,0,*4/D\
69,Erik\'a0Bedard*\\bedarer01,33,PIT,NL,23,44,37,2,4,1,0,0,0,0,0,1,14,.108,.132,.135,.267,-25,5,0,0,6,0,0,1\
70,Ronald\'a0Belisario\\belisro01,29,LAD,NL,65,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
71,Matt\'a0Belisle\\belisma01,32,COL,NL,77,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
72,Jeff\'a0Beliveau*\\belivje01,25,CHC,NL,22,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
73,Heath\'a0Bell\\bellhe01,34,MIA,NL,70,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
74,Josh\'a0Bell#\\belljo01,25,ARI,NL,21,56,52,3,9,2,0,1,4,0,0,4,14,.173,.232,.269,.501,35,14,3,0,0,0,1,5\
75,Duane\'a0Below*\\belowdu01,26,DET,AL,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
76,Brandon\'a0Belt*\\beltbr01,24,SFG,NL,145,472,411,47,113,27,6,7,56,12,2,54,106,.275,.360,.421,.781,123,173,2,3,0,4,5,*3/7\
77,Carlos\'a0Beltran#\\beltrca01,35,STL,NL,151,619,547,83,147,26,1,32,97,13,6,65,124,.269,.346,.495,.842,128,271,9,2,1,4,15,*9/8D\
78,Adrian\'a0Beltre\\beltrad01,33,TEX,AL,156,654,604,95,194,33,2,36,102,1,0,36,82,.321,.359,.561,.921,139,339,8,5,0,9,8,*5D\
79,Joaquin\'a0Benoit\\benoijo01,34,DET,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
80,Brad\'a0Bergesen*\\bergebr02,26,ARI,NL,19,2,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,1,0,0,1\
81,Jason\'a0Berken\\berkeja01,28,TOT,MLB,4,5,5,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1\
82,Lance\'a0Berkman#\\berkmla01,36,STL,NL,32,97,81,12,21,7,1,2,7,2,0,14,19,.259,.381,.444,.826,126,36,3,2,0,0,3,3\
83,Roger\'a0Bernadina*\\bernaro01,28,WSN,NL,129,261,227,25,66,11,0,5,25,15,3,28,53,.291,.372,.405,.777,111,92,2,2,3,1,3,78/9\
84,Quintin\'a0Berry*\\berryqu01,27,DET,AL,94,330,291,44,75,10,6,2,29,21,0,25,80,.258,.330,.354,.684,85,103,4,7,6,1,0,78/9D\
85,Rafael\'a0Betancourt\\betanra01,37,COL,NL,58,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
86,Yuniesky\'a0Betancourt\\betanyu01,30,KCR,AL,57,228,215,21,49,14,1,7,36,0,1,9,25,.228,.256,.400,.656,75,86,10,0,1,3,0,4/5D6\
87,Wilson\'a0Betemit#\\betemwi01,30,BAL,AL,102,376,341,41,89,19,0,12,40,0,1,31,103,.261,.322,.422,.744,101,144,8,1,0,3,0,53/D7\
88,Jeff\'a0Bianchi\\biancje01,25,MIL,NL,33,76,69,8,13,2,0,3,9,0,0,4,13,.188,.230,.348,.578,51,24,1,0,2,1,0,6/54\
89,Chad\'a0Billingsley\\billich01,27,LAD,NL,23,48,42,1,8,1,0,0,2,0,0,0,18,.190,.186,.214,.400,11,9,0,0,5,1,0,1\
90,Brian\'a0Bixler\\bixlebr01,29,HOU,NL,36,96,88,11,17,6,0,2,7,3,0,7,36,.193,.253,.330,.582,57,29,0,0,1,0,0,/96457\
91,Nick\'a0Blackburn\\blackni01,30,MIN,AL,1,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
92,Travis\'a0Blackley*\\blacktr01,29,TOT,MLB,7,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
93,Charlie\'a0Blackmon*\\blackch02,25,COL,NL,42,121,113,15,32,8,0,2,9,1,2,4,17,.283,.325,.407,.732,85,46,4,3,1,0,0,97/8\
94,Gregor\'a0Blanco*\\blancgr01,28,SFG,NL,141,453,393,56,96,14,5,5,34,26,6,51,104,.244,.333,.344,.676,94,135,0,2,5,2,2,*978/D\
95,Henry\'a0Blanco\\blanche01,40,ARI,NL,21,67,64,6,12,3,0,1,7,1,0,3,18,.188,.224,.281,.505,35,18,1,0,0,0,0,2\
96,Kyle\'a0Blanks\\blankky01,25,SDP,NL,4,6,5,0,1,0,0,0,0,0,0,1,2,.200,.333,.200,.533,56,1,0,0,0,0,0,/37\
97,Joe\'a0Blanton\\blantjo01,31,TOT,NL,29,66,55,0,4,0,0,0,1,0,0,3,26,.073,.136,.073,.208,-41,4,0,1,7,0,0,1\
98,Jerry\'a0Blevins*\\blevije01,28,OAK,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
99,Willie\'a0Bloomquist\\bloomwi01,34,ARI,NL,80,338,324,47,98,21,5,0,23,7,10,12,55,.302,.325,.398,.724,94,129,5,0,0,2,0,65/479\
100,Geoff\'a0Blum#\\blumge01,39,ARI,NL,17,31,28,1,4,0,0,0,1,0,0,2,7,.143,.194,.143,.336,-7,4,0,0,0,1,0,/5\
101,Brennan\'a0Boesch*\\boescbr01,27,DET,AL,132,503,470,52,113,22,2,12,54,6,3,26,104,.240,.286,.372,.659,76,175,11,5,0,2,1,*9/D\
102,Mitchell\'a0Boggs\\boggsmi01,28,STL,NL,75,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
103,Brian\'a0Bogusevic*\\bogusbr01,28,HOU,NL,146,404,355,39,72,9,2,7,28,15,4,41,96,.203,.297,.299,.596,63,106,6,7,0,1,1,*98/71\
104,Emilio\'a0Bonifacio#\\bonifem01,27,MIA,NL,64,274,244,30,63,3,4,1,11,30,3,25,52,.258,.330,.316,.645,76,77,3,1,4,0,1,84\
105,J.C.\'a0Boscan\\boscajc01,32,ATL,NL,6,10,10,0,2,0,0,0,2,0,0,0,1,.200,.200,.200,.400,9,2,0,0,0,0,0,/2\
106,Jason\'a0Bourgeois\\bourgja01,30,KCR,AL,30,66,62,10,16,2,1,0,5,5,4,4,4,.258,.303,.323,.626,71,20,1,0,0,0,0,8/D7\
107,Peter\'a0Bourjos\\bourjpe01,25,LAA,AL,101,195,168,27,37,7,0,3,19,3,1,15,44,.220,.291,.315,.606,72,53,2,3,6,3,0,8/D\
108,Michael\'a0Bourn*\\bournmi01,29,ATL,NL,155,703,624,96,171,26,10,9,57,42,13,70,155,.274,.348,.391,.739,99,244,2,3,2,4,1,*8\
109,Michael\'a0Bowden\\bowdemi01,25,TOT,MLB,30,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
110,Brad\'a0Boxberger\\boxbebr01,24,SDP,NL,23,2,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,1,0,0,1\
111,Brad\'a0Brach\\brachbr01,26,SDP,NL,66,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
112,Michael\'a0Brantley*\\brantmi02,25,CLE,AL,149,609,552,63,159,37,4,6,60,12,9,53,56,.288,.348,.402,.750,112,222,7,0,0,4,12,*8/D\
113,Rob\'a0Brantly*\\brantro01,22,MIA,NL,31,113,100,14,29,8,0,3,8,1,1,13,16,.290,.372,.460,.832,123,46,1,0,0,0,2,2\
114,Ryan\'a0Braun\\braunry02,28,MIL,NL,154,677,598,108,191,36,3,41,112,30,7,63,128,.319,.391,.595,.987,158,356,12,11,0,5,15,*7/D\
115,Bill\'a0Bray*\\braybi01,29,CIN,NL,14,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
116,Craig\'a0Breslow*\\breslcr01,31,TOT,MLB,38,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
117,Reid\'a0Brignac#\\brignre01,26,TBR,AL,16,22,21,1,2,0,0,0,1,0,0,1,5,.095,.136,.095,.232,-33,2,0,0,0,0,0,6/547\
118,Rex\'a0Brothers*\\brothre01,24,COL,NL,72,3,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,1,0,0,1\
119,Andrew\'a0Brown\\brownan02,27,COL,NL,46,126,112,14,26,7,0,5,11,2,2,12,34,.232,.302,.429,.730,83,48,3,0,0,2,0,97\
120,Corey\'a0Brown*\\brownco01,26,WSN,NL,19,27,25,4,5,2,0,1,3,0,0,1,9,.200,.231,.400,.631,67,10,0,0,1,0,0,/789\
121,Domonic\'a0Brown*\\browndo01,24,PHI,NL,56,212,187,21,44,11,2,5,26,0,0,21,34,.235,.316,.396,.712,91,74,6,2,0,2,2,97\
122,Barret\'a0Browning*\\brownba01,27,STL,NL,22,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
123,Jonathan\'a0Broxton\\broxtjo01,28,TOT,MLB,29,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
124,Jay\'a0Bruce*\\bruceja01,25,CIN,NL,155,633,560,89,141,35,5,34,99,9,3,62,155,.252,.327,.514,.841,121,288,5,4,0,7,11,*9\
125,Tyson\'a0Brummett\\brummty01,27,PHI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1\
126,Clay\'a0Buchholz*\\buchhcl01,27,BOS,AL,1,3,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,1,0,0,1\
127,John\'a0Buck\\buckjo01,31,MIA,NL,106,398,343,29,66,15,1,12,41,0,0,49,103,.192,.297,.347,.644,73,119,8,3,1,2,5,2\
128,Travis\'a0Buck*\\bucktr01,28,HOU,NL,33,81,74,7,16,5,1,0,6,0,0,6,18,.216,.284,.311,.595,62,23,2,1,0,0,0,79\
129,Mark\'a0Buehrle*\\buehrma01,33,MIA,NL,30,71,67,2,3,1,0,0,1,0,0,0,29,.045,.045,.060,.104,-72,4,1,0,4,0,0,1\
130,Madison\'a0Bumgarner\\bumgama01,22,SFG,NL,30,75,68,4,11,1,0,2,6,0,0,1,25,.162,.174,.265,.439,23,18,0,0,6,0,0,1\
131,A.J.\'a0Burnett\\burnea.01,35,PIT,NL,29,71,63,1,4,0,0,0,2,0,0,3,36,.063,.106,.063,.170,-51,4,1,0,5,0,0,1\
132,Alex\'a0Burnett\\burneal01,24,MIN,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
133,Sean\'a0Burnett*\\burnese01,29,WSN,NL,65,1,0,0,0,0,0,0,0,0,0,1,0,,1.000,,,,0,0,0,0,0,0,1\
134,Cory\'a0Burns\\burnsco01,24,SDP,NL,17,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
135,Emmanuel\'a0Burriss#\\burriem01,27,SFG,NL,60,150,136,15,29,1,0,0,7,5,3,10,25,.213,.270,.221,.491,43,30,6,1,2,1,1,4/569\
136,Sean\'a0Burroughs*\\burrose01,31,MIN,AL,10,18,17,0,2,1,0,0,1,0,0,1,3,.118,.167,.176,.343,-4,3,1,0,0,0,0,/53D\
137,Jared\'a0Burton\\burtoja01,31,MIN,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
138,Drew\'a0Butera\\buterdr01,28,MIN,AL,42,122,111,7,22,6,0,1,5,0,0,9,26,.198,.270,.279,.550,53,31,3,2,0,0,0,2/1\
139,Billy\'a0Butler\\butlebi03,26,KCR,AL,161,679,614,72,192,32,1,29,107,2,1,54,111,.313,.373,.510,.882,138,313,20,7,0,4,9,*D3\
140,Marlon\'a0Byrd\\byrdma01,34,TOT,MLB,47,153,143,10,30,2,0,1,9,0,3,5,31,.210,.243,.245,.488,33,35,3,2,1,2,1,8/9\
141,Tim\'a0Byrdak*\\byrdati01,38,NYM,NL,51,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
142,Alberto\'a0Cabrera\\cabreal03,23,CHC,NL,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
143,Asdrubal\'a0Cabrera#\\cabreas01,26,CLE,AL,143,616,555,70,150,35,1,16,68,9,4,52,99,.270,.338,.423,.762,114,235,18,6,1,2,3,*6/D\
144,Edwar\'a0Cabrera*\\cabreed01,24,COL,NL,2,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1\
145,Everth\'a0Cabrera#\\cabreev01,25,SDP,NL,115,449,398,49,98,19,3,2,24,44,4,43,110,.246,.324,.324,.648,85,129,3,3,5,0,2,*6/45\
146,Melky\'a0Cabrera#\\cabreme01,27,SFG,NL,113,501,459,84,159,25,10,11,60,13,5,36,63,.346,.390,.516,.906,157,237,8,0,1,5,4,*79\
147,Miguel\'a0Cabrera\\cabremi01,29,DET,AL,161,697,622,109,205,40,0,44,139,4,1,66,98,.330,.393,.606,.999,164,377,28,3,0,6,17,*5/D3\
148,Trevor\'a0Cahill\\cahiltr01,24,ARI,NL,31,73,67,2,8,0,0,0,4,0,0,1,24,.119,.132,.119,.252,-31,8,1,0,5,0,0,1\
149,Lorenzo\'a0Cain\\cainlo01,26,KCR,AL,61,244,222,27,59,9,2,7,31,10,0,15,56,.266,.316,.419,.734,98,93,4,3,0,4,0,8/9D7\
150,Matt\'a0Cain\\cainma01,27,SFG,NL,33,84,74,6,13,2,0,1,6,0,0,2,33,.176,.197,.243,.441,25,18,0,0,8,0,0,1\
151,Miguel\'a0Cairo\\cairomi01,38,CIN,NL,70,156,150,9,28,7,2,1,13,4,0,4,20,.187,.212,.280,.492,30,42,4,1,0,1,0,35/4D\
152,Kole\'a0Calhoun*\\calhoko01,24,LAA,AL,21,25,23,2,4,1,0,0,1,1,0,2,6,.174,.240,.217,.457,31,5,0,0,0,0,1,9/7D\
153,Alberto\'a0Callaspo#\\callaal01,29,LAA,AL,138,520,457,55,115,20,0,10,53,4,3,56,59,.252,.331,.361,.692,96,165,6,0,3,4,1,*5\
154,Shawn\'a0Camp\\campsh01,36,CHC,NL,77,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
155,Tony\'a0Campana*\\campato01,26,CHC,NL,89,192,174,26,46,6,0,0,5,30,3,11,43,.264,.308,.299,.607,66,52,0,0,7,0,0,87/9\
156,Robinson\'a0Cano*\\canoro01,29,NYY,AL,161,697,627,105,196,48,1,33,94,3,2,61,96,.313,.379,.550,.929,148,345,22,7,0,2,10,*4/D\
157,Russ\'a0Canzler\\canzlru01,26,CLE,AL,26,97,93,9,25,3,0,3,11,0,0,4,22,.269,.299,.398,.697,95,37,0,0,0,0,1,7/3D\
158,Matt\'a0Capps\\cappsma01,28,MIN,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
159,Chris\'a0Capuano*\\capuach01,33,LAD,NL,33,69,54,3,5,2,0,0,3,0,0,1,27,.093,.107,.130,.237,-35,7,0,0,13,1,0,1\
160,Adrian\'a0Cardenas*\\cardead01,24,CHC,NL,45,67,60,5,11,6,0,0,2,0,0,7,13,.183,.269,.283,.552,50,17,0,0,0,0,1,4/75\
161,Luke\'a0Carlin#\\carlilu01,31,CLE,AL,4,14,14,2,3,1,0,0,1,1,0,0,3,.214,.214,.286,.500,40,4,1,0,0,0,0,/2\
162,Mike\'a0Carp*\\carpmi01,26,SEA,AL,59,189,164,17,35,6,0,5,20,1,0,21,46,.213,.312,.341,.654,87,56,7,3,0,1,1,73/D\
