k,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary▼,Acquired
88,Bob Wickman\wickmbo01,33,CLE,34.1,36,0,22,5.77,4.72,-0.31,-0.36,101.5,4.74,-4,-0.4,1.33,-0.1,-0.2,0,.489,.498,$3400000,Traded
89,Jeff Nelson\nelsoje01,35,SEA,45.2,41,0,20,3.94,5.00,0.03,-0.38,95.8,4.40,2,0.2,1.47,-0.1,0.6,7,.505,.501,$3333333,Free Agency
90,Terry Mulholland*\mulhote01,39,2TM,79.0,37,3,56,6.38,4.78,-0.07,-0.22,94.3,4.39,-18,-1.7,.54,0.4,-0.6,-10,.453,.494,$3250000,Traded
91,Paul Shuey\shueypa01,31,2TM,68.0,67,0,29,3.84,4.73,-0.02,-0.35,96.3,4.24,3,0.3,1.22,-0.1,0.8,10,.504,.501,$3250000,Amateur Draft
92,Orlando Hernandez\hernaor01,36,NYY,146.0,24,22,63,3.88,4.78,-0.34,0.15,100.5,5.30,22,2.3,1.27,-0.1,3.7,39,.597,.514,$3200000,Amateur Free Agent
93,Tim Wakefield\wakefti01,35,BOS,163.1,45,15,57,3.14,4.79,0.36,-0.04,101.3,4.45,23,2.3,1.10,-0.2,3.9,42,.552,.514,$3200000,Free Agency
94,Derek Lowe\lowede01,29,BOS,219.2,32,32,65,2.66,4.81,0.39,0.18,101.1,4.65,47,5.1,,-0.1,7.2,73,.660,.532,$3125000,Traded
95,Julian Tavarez\tavarju01,29,FLA,153.2,29,27,100,5.86,4.44,-0.09,0.17,97.9,4.60,-22,-2.2,.79,-0.1,-0.9,-8,.426,.487,$3100000,Traded
96,Mark Grace*\gracema01,38,ARI,1.0,1,0,1,9.00,4.84,-0.04,-0.36,122.0,5.51,0,0.0,.00,0.0,0.0,0,.460,.500,$3000000,Free Agency
97,Rick Helling\helliri01,31,ARI,175.2,30,30,94,4.82,4.57,-0.03,0.18,108.2,5.17,6,0.6,,-0.1,2.0,22,.521,.504,$3000000,Free Agency
98,Graeme Lloyd*\lloydgr01,35,2TM,57.0,66,0,34,5.37,4.58,-0.09,-0.34,99.6,4.32,-7,-0.7,1.72,-0.5,-0.7,-2,.489,.497,$3000000,Traded
99,Steve Sparks\sparkst01,36,DET,189.0,32,30,134,6.38,4.88,-0.27,0.15,96.9,5.14,-27,-2.5,.43,-0.1,-0.7,-5,.422,.485,$3000000,Free Agency
100,Rheal Cormier*\cormirh01,35,PHI,60.0,54,0,38,5.70,4.60,0.15,-0.34,93.5,3.85,-13,-1.3,1.29,-0.3,-1.1,-7,.476,.492,$2883333,Free Agency
101,Russ Ortiz\ortizru01,28,SFG,214.1,33,33,89,3.74,4.56,0.24,0.18,94.0,4.22,11,1.1,,-0.1,2.8,30,.534,.507,$2862500,Amateur Draft
102,Paul Quantrill\quantpa01,33,LAD,76.2,86,0,27,3.17,4.69,0.29,-0.35,92.1,3.73,4,0.5,1.28,-0.1,1.0,11,.505,.503,$2833333,Traded
103,Greg Swindell*\swindgr01,37,ARI,33.0,34,0,23,6.27,4.77,-0.03,-0.35,109.6,4.88,-5,-0.5,.71,0.0,-0.2,-2,.484,.497,$2833333,Free Agency
104,Jeff Fassero*\fasseje01,39,2TM,69.0,73,0,43,5.61,4.62,-0.21,-0.34,100.1,4.49,-9,-0.9,1.30,-0.2,-0.5,-3,.487,.495,$2800000,Free Agency
105,Tom Gordon\gordoto01,34,2TM,42.2,34,0,19,4.01,4.55,-0.28,-0.34,99.5,4.47,2,0.2,.94,-0.1,0.5,6,.506,.501,$2800000,Free Agency
106,Glendon Rusch*\ruschgl01,27,MIL,210.2,34,34,118,5.04,4.47,-0.09,0.17,99.0,4.69,-9,-0.9,,-0.1,0.7,10,.473,.494,$2800000,Traded
107,LaTroy Hawkins\hawkila01,29,MIN,80.1,65,0,23,2.58,4.85,0.12,-0.37,100.2,4.37,16,1.6,1.09,-0.1,2.3,25,.524,.510,$2750000,Amateur Draft
108,Jason Isringhausen\isrinja01,29,STL,65.1,60,0,22,3.03,4.39,0.25,-0.32,97.2,3.71,5,0.5,1.54,0.0,1.1,10,.508,.503,$2750000,Free Agency
109,Terry Adams\adamste01,29,PHI,136.2,46,19,76,5.00,4.47,0.15,0.05,95.3,4.16,-13,-1.4,1.41,-0.2,-0.4,-1,.470,.492,$2700000,Free Agency
110,Kris Benson\bensokr01,27,PIT,130.1,25,25,76,5.25,4.53,0.07,0.17,103.2,4.78,-7,-0.8,,-0.1,0.3,4,.470,.495,$2700000,Amateur Draft
111,Sidney Ponson\ponsosi01,25,BAL,176.0,28,28,84,4.30,4.99,0.26,0.18,96.3,4.73,8,0.8,,-0.1,2.5,28,.528,.505,$2650000,Amateur Free Agent
112,Ramiro Mendoza\mendora01,30,NYY,91.2,62,0,43,4.22,4.88,-0.38,-0.37,99.9,4.88,6,0.6,1.39,-0.1,1.5,17,.510,.504,$2600000,Amateur Free Agent
113,Roy Halladay\hallaro01,25,TOR,239.1,34,34,93,3.50,4.89,-0.04,0.18,104.2,5.33,48,5.1,,-0.2,7.4,76,.651,.532,$2583333,Amateur Draft
114,Cory Lidle\lidleco01,30,OAK,192.0,31,30,90,4.22,4.98,-0.04,0.18,96.6,5.02,16,1.7,.63,-0.1,3.5,39,.553,.510,$2550000,Traded
115,Felix Rodriguez\rodrife01,29,SFG,69.0,71,0,33,4.30,4.56,0.22,-0.34,95.3,3.81,-4,-0.4,1.45,-0.2,-0.1,2,.494,.497,$2516667,Traded
116,Matt Clement\clemema01,27,CHC,205.0,32,32,84,3.69,4.48,-0.32,0.17,97.1,4.83,25,2.8,,-0.1,4.4,43,.587,.517,$2500000,Traded
117,Buddy Groom*\groombu01,36,BAL,62.0,70,0,11,1.60,4.96,0.23,-0.38,95.4,4.15,17,1.7,1.64,0.4,2.8,25,.525,.511,$2500000,Free Agency
118,John Rocker*\rockejo01,27,TEX,24.1,30,0,19,7.03,4.90,-0.13,-0.37,107.4,5.00,-6,-0.5,1.68,-0.2,-0.5,-3,.482,.497,$2500000,Traded
119,Mike Stanton*\stantmi02,35,NYY,78.0,79,0,29,3.35,4.87,-0.35,-0.37,101.0,4.91,13,1.3,1.37,0.1,2.2,22,.517,.508,$2500000,Free Agency
120,Ismael Valdez\valdeis01,28,2TM,196.0,31,31,94,4.32,4.88,-0.10,0.18,104.7,5.41,23,2.5,,-0.1,4.3,46,.580,.512,$2500000,Traded
121,Gabe White*\whitega01,30,CIN,54.1,62,0,19,3.15,4.59,0.00,-0.34,105.8,4.50,8,0.8,1.35,0.0,1.3,13,.514,.505,$2491667,Traded
122,Ryan Dempster\dempsry01,25,2TM,209.0,33,33,127,5.47,4.44,-0.04,0.17,101.7,4.73,-18,-1.8,,-0.1,-0.1,0,.446,.495,$2475000,Traded
123,Billy Koch\kochbi01,27,OAK,93.2,84,0,38,3.65,4.87,-0.03,-0.37,97.7,4.43,8,0.8,1.72,0.1,1.8,19,.509,.505,$2433333,Traded
124,Brian Moehler\moehlbr01,30,2TM,63.0,13,12,39,5.57,4.70,-0.07,0.17,107.2,5.25,-3,-0.1,1.30,0.0,0.4,4,.489,.497,$2400000,Traded
125,Jim Mecir\mecirji01,32,OAK,67.2,61,0,36,4.79,4.88,-0.04,-0.37,97.4,4.44,-3,-0.3,1.47,-0.2,0.2,5,.495,.498,$2366667,Traded
126,Joe Mays\maysjo01,26,MIN,95.1,17,17,60,5.66,4.94,0.15,0.18,98.9,4.91,-8,-0.8,,-0.1,0.1,3,.453,.495,$2350000,Traded
127,Jeff Weaver\weaveje01,25,2TM,199.2,32,25,88,3.97,4.71,-0.29,0.11,97.4,4.98,21,2.2,1.20,-0.2,4.1,45,.570,.507,$2350000,Amateur Draft
128,Kelvim Escobar\escobke01,26,TOR,78.0,76,0,39,4.50,4.89,-0.04,-0.37,104.3,4.76,2,0.2,1.55,-0.1,0.9,11,.502,.501,$2300000,Amateur Free Agent
129,Mike Fetters\fettemi01,37,2TM,55.0,65,0,31,5.07,4.61,0.02,-0.34,106.3,4.52,-4,-0.4,1.21,-0.2,-0.1,1,.494,.499,$2275000,Traded
130,Frank Castillo\castifr01,33,BOS,163.1,36,23,101,5.57,4.82,0.42,0.07,101.5,4.53,-20,-1.9,.71,-0.1,-0.3,-1,.448,.489,$2250000,Free Agency
131,Jay Powell\powelja04,30,TEX,49.2,51,0,28,5.07,4.99,-0.14,-0.38,106.0,5.03,0,0.0,1.42,-0.1,0.4,5,.499,.500,$2250000,Free Agency
132,David Wells*\wellsda01,39,NYY,206.1,31,31,100,4.36,4.74,-0.37,0.17,97.8,5.17,17,1.8,,-0.1,3.8,41,.558,.511,$2250000,Free Agency
133,Rich Garces\garceri01,31,BOS,21.1,26,0,20,8.44,4.71,0.40,-0.36,102.2,4.04,-11,-1.0,1.18,-0.1,-0.9,-8,.461,.494,$2200000,Free Agency
134,Antonio Osuna\osunaan01,29,CHW,67.2,59,0,32,4.26,4.81,0.07,-0.36,101.0,4.42,1,0.1,1.30,-0.1,0.7,9,.501,.501,$2200000,Traded
135,Dan Plesac*\plesada01,40,2TM,36.1,60,0,17,4.21,4.92,0.06,-0.37,95.7,4.32,0,0.0,1.63,0.0,0.4,4,.500,.499,$2200000,Traded
136,Scott Sullivan\sullisc01,31,CIN,78.2,71,0,60,6.86,4.53,0.00,-0.34,104.0,4.36,-22,-2.3,1.32,-0.5,-2.1,-15,.468,.486,$2200000,Amateur Draft
137,Josh Beckett\beckejo02,22,FLA,107.2,23,21,56,4.68,4.62,-0.07,0.16,99.0,4.80,1,0.1,.78,-0.1,1.0,11,.504,.501,$2156250,Amateur Draft
138,Miguel Batista\batismi01,31,ARI,184.2,36,29,99,4.82,4.67,-0.03,0.16,106.4,5.17,6,0.7,.78,-0.1,2.1,23,.518,.504,$2125000,Free Agency
139,Dave Burba\burbada01,35,2TM,145.1,35,21,91,5.64,4.86,-0.18,0.09,104.8,5.38,-5,-0.5,.95,-0.1,0.9,12,.486,.498,$2000000,Free Agency
140,Mike Remlinger*\remlimi01,36,ATL,68.0,73,0,17,2.25,4.60,0.40,-0.34,101.7,3.92,12,1.3,1.51,0.2,2.1,18,.518,.508,$2000000,Traded
141,Todd Van Poppel\vanpoto01,30,TEX,72.2,50,0,44,5.45,4.85,-0.12,-0.37,109.2,5.03,-4,-0.4,.82,-0.1,0.3,5,.493,.498,$2000000,Free Agency
142,Mike Williams\willimi03,33,PIT,61.1,59,0,24,3.52,4.45,0.07,-0.33,103.0,4.17,4,0.4,1.92,0.1,1.1,10,.507,.503,$2000000,Free Agency
143,Jose Jimenez\jimenjo01,28,COL,73.1,74,0,34,4.17,4.68,0.22,-0.35,114.7,4.72,4,0.4,1.56,0.0,1.0,11,.506,.503,$1937500,Traded
144,Rolando Arrojo\arrojro01,36,BOS,81.1,29,8,47,5.20,4.79,0.42,-0.10,97.8,4.18,-10,-0.9,1.27,-0.2,-0.3,0,.468,.494,$1900000,Traded
145,Jason Grimsley\grimsja01,34,KCR,71.1,70,0,32,4.04,4.93,-0.11,-0.37,112.3,5.24,9,0.9,1.24,-0.1,1.6,17,.513,.506,$1900000,Free Agency
146,Felix Heredia*\heredfe01,27,TOR,52.1,53,0,29,4.99,5.05,-0.05,-0.38,105.1,4.96,0,0.0,1.02,-0.1,0.4,6,.499,.500,$1850000,Traded
